Number,Class,Target,Radius_A,Radius_B,Za,Zb,TF,aO3,rc,A_ionic,B_ionic,R_a/R_b,Mass,A_aff,B_aff,A_Tm,B_Tm,A_Tb,B_Tb,A_Hfus,B_Hfus,A_Density,B_Density
32,0,-6.75,98.47,53.5,1.126,1.61,0.87144059,128.9699497,56.09204477,5.583816,5.98577,1.840560748,208.768,42.48,42.6,1003.1,660.32,2915,2519,65.86,399.9,6.463,2.7
33,0,-6.68,91,53.5,1.198,1.61,0.844142979,128.8957331,53.8370585,6.206706,5.98577,1.700934579,159.007,26.82,42.6,1454,660.32,3158.9,2519,136.51,399.9,4.177,2.7
34,0,-6.56,110.6,100.8,1.025,1.618,0.735884383,240.6481818,87.57755094,5.6359,6.25314,1.097222222,239.58,25,33.84,847.5,759.4602,2423,3086,64.7,140.08,4.395,6.154
35,0,-6.52,98.47,60.15,1.126,1.63,0.842486905,144.6515759,59.39600101,5.583816,5.987123,1.637073982,213.042,42.48,41.24,1003.1,597.2647,2915,2487.5,65.86,367.91,6.463,3.021
36,0,-6.31,136,78.4,0.89,1.69,0.893596482,188.0398533,79.53486479,5.2117,5.955868,1.734693878,294.904,14,31.42,727,496.08,1879,2539.4,51.8,68.92,3.62,7.152
37,0,-6.31,102.88,120,1.09,1.81,0.660546519,285.8422042,102.0388971,5.630526,5.9993,0.857333333,246.738,40.95,29,910.4,29.767,3266,2204,61.45,80,5.689,5.91
38,0,-6.29,100.27,120,1.121,1.81,0.653448255,285.8093139,102.0351906,5.54199,5.9993,0.835583333,256.262,42.77,29,996.6,29.767,2904.8,2204,53.03,80,6.573,5.91
39,0,-6.21,104.68,79.2,1.085,1.733,0.789301493,189.640114,71.94792101,5.5887,5.972348,1.321717172,286.983,41.24,22.2,903.9,205.94,3255.8,1973.8,48.62,60.63,5.799,6.753
40,0,-6.17,136,77.6,0.89,1.645,0.896881763,186.1520517,79.14123749,5.2117,6.040622,1.75257732,292.606,14,32.63,727,665.82,1879,2773.1,51.8,89.08,3.62,7.073
41,0,-6.01,104.68,53.5,1.085,1.61,0.894133784,129.0281983,58.08317896,5.5887,5.98577,1.956635514,208.752,41.24,42.6,903.9,660.32,3255.8,2519,48.62,399.9,5.799,2.7
42,0,-5.99,94.15,53.5,1.18,1.61,0.85565402,128.9276067,54.76780585,6.146406,5.98577,1.759813084,220.558,42.48,42.6,1265.9,660.32,3094.1,2519,78.28,399.9,7.264,2.7
43,0,-5.95,100,72.4,1,1.594,0.798990713,173.554842,66.73218443,6.11316,6.66234,1.38121547,140.328,1.8,11.88,842,1341.9534,1484,3070.4,213.1,252.48,1.54,4.79
44,0,-5.89,104.68,86.1,1.085,1.27,0.765214008,205.9133521,76.434819,5.5887,5.4259,1.215795587,356.772,41.24,47,903.9,1663,3255.8,3402,48.62,126,5.799,9.84
45,0,-5.89,106.48,120,1.079,1.81,0.670337229,285.8864271,102.1027572,5.54038,5.9993,0.887333333,256.46,42.17,29,898.9,29.767,3305.5,2204,45.32,80,5.897,5.91
